Player,Base_Price,TYPE,Cost_INR_Cr,Cost_INR_Cr2,Prev_Team,Team,Status,Base_Price_Cr
Atit Sheth,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
M. Siddharth,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Tanay Thyagarajann,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Sumeet Verma,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Sanjay Yadav,2000000,ALL-ROUNDER,0,1,MI,Unsold,Unsold,0.2
Ajitesh Guruswamy,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Yash Kothari,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Suresh Kumar,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Kumar Kushagra,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Anmol Malhotra,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Robin Minz,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Agniv Pan,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Priyesh Patel,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Mitesh Patel,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Abishek Porel,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Bharat Sharma,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Vivek Singh,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Abhijeet Tomar,2000000,WICKETKEEPER,0,1,KKR,Unsold,Unsold,0.2
Basit Bashir,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Nandre Burger,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Rasikh Dar,2000000,BOWLER,0,1,KKR,Unsold,Unsold,0.2
Sakib Hussain,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Waseem Khanday,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Ravi Kiran Majeti,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Lukman Hussain Meriwala,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Anuj Raj,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Ankit Singh Rajpoot,2000000,BOWLER,0,1,LSG,Unsold,Unsold,0.2
Prince Yadav,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Prithviraj Yarra,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Mushtaq Beg,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Rocky Bhasker,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Sanjith Devaraj,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Allah Mohammad,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Lalit Mohan,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Bhuwan Rohilla,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Aman Sharma,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Manav Suthar,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Tom Curran,7500000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.75
Moises Henriques,10000000,ALL-ROUNDER,0,1,,Unsold,Unsold,1
Afif Hossain,5000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.5
Scott Kuggeleijn,5000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.5
Sisanda Magala,5000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.5
Craig Overton,20000000,ALL-ROUNDER,0,1,,Unsold,Unsold,2
Darcy Short,7500000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.75
Dhananjaya Silva,5000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.5
Dunith Wellalage,5000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.5
Varun Aaron,5000000,BOWLER,0,1,GT,Unsold,Unsold,0.5
Sheldon Cottrel,5000000,BOWLER,0,1,,Unsold,Unsold,0.5
Nathan Coulter-Nile,1500000,BOWLER,0,1,RR,Unsold,Unsold,0.15
Daryn Dupavillon,5000000,BOWLER,0,1,,Unsold,Unsold,0.5
Matt Henry,10000000,BOWLER,0,1,,Unsold,Unsold,1
Dhawal Kulkarni,5000000,BOWLER,0,1,,Unsold,Unsold,0.5
Tymal Mills,20000000,BOWLER,0,1,MI,Unsold,Unsold,2
David Payne,7500000,BOWLER,0,1,,Unsold,Unsold,0.75
Barinder Sran,5000000,BOWLER,0,1,,Unsold,Unsold,0.5
Glenton Stuurman,5000000,BOWLER,0,1,,Unsold,Unsold,0.5
Anirudh Balachander,2000000,BATSMAN,0,1,,Unsold,Unsold,0.2
Gourav Choudhary,2000000,BATSMAN,0,1,,Unsold,Unsold,0.2
Saurav Chuahan,2000000,BATSMAN,0,1,,Unsold,Unsold,0.2
Kumar Deobrat,2000000,BATSMAN,0,1,,Unsold,Unsold,0.2
Chirag Gandhi,2000000,BATSMAN,0,1,,Unsold,Unsold,0.2
Arman Jaffer,2000000,BATSMAN,0,1,,Unsold,Unsold,0.2
Madhav Kaushik,2000000,BATSMAN,0,1,,Unsold,Unsold,0.2
Priyank Panchal,2000000,BATSMAN,0,1,,Unsold,Unsold,0.2
Ayush Pandey,2000000,BATSMAN,0,1,,Unsold,Unsold,0.2
Rohan Patil,2000000,BATSMAN,0,1,,Unsold,Unsold,0.2
Sanjay Ramaswamy,2000000,BATSMAN,0,1,,Unsold,Unsold,0.2
Siddharth Yadav,2000000,BATSMAN,0,1,,Unsold,Unsold,0.2
Rehan Ahmed,4000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.4
Prayas Barman,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Rahul Buddhi,2000000,ALL-ROUNDER,0,1,MI,Unsold,Unsold,0.2
Vaisakh Chandran,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Writtick Chatterjee,2000000,ALL-ROUNDER,0,1,PBKS,Unsold,Unsold,0.2
Prashant Chopra,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Harsh Dubey,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Tanush Kotian,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Ninad Rathva,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
B. Surya,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Jordan Thompson,4000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.4
Shivank Vashisth,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Ankush Bains,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Christopher Benjamin,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Connor Esterhuizen,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Mohd Arslan Khan,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Mamidi Krishna,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Fazil Makaya,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Akshdeep Nath,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Deepak Punia,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Ateev Saini,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Bipin Saurabh,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
B.R. Sharath,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Yashovardhan Singh,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Lakshay Thareja,2000000,WICKETKEEPER,0,1,,Unsold,Unsold,0.2
Mohit Avasthi,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Ottneil Baartman,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Gurnoor Singh Brar,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Shahrukh Dar,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Thomas Helm,4000000,BOWLER,0,1,,Unsold,Unsold,0.4
Pankaj Jaswal,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Venkatesh Muralidhara,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Geet Puri,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
E. Sanketh,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Ajay Sarkar,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Ashok Sharma,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Kanwar Singh,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Fabian Allen,5000000,ALL-ROUNDER,0,1,MI,Unsold,Unsold,0.5
Carlos Brathwaite,7500000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.75
Roston Chase,10000000,ALL-ROUNDER,0,1,,Unsold,Unsold,1
Rahkeem Cornwall,10000000,ALL-ROUNDER,0,1,,Unsold,Unsold,1
Karim Janat,5000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.5
Keshav Maharaj,5000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.5
Pawan Negi,5000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.5
Keemo Paul,5000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.5
Shivam Chaudhary,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Ashwin Das,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
James Fuller,4000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.4
Chirag Jani,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Akshay Karnewar,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Bhagmender Lather,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Lone Muzaffar,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Pulkit Narang,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Rohit Rayudu,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Sameer Rizvi,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Tunish Sawkar,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Auqib Dar,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Mukhtar Hussain,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Ashwani Kumar,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Hemant Kumar,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Nathan McAndrew,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Rajesh Mohanty,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Ravi Sharma,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Vikash Singh,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Ruben Trumpelmann,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Koushik Vasuki,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Vasu Vats,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Shubham Agrawal,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Baba Aparajith,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Anshul Kamboj,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Azim Kazi,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Dev Lakra,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Jitender Pal,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Ritwik Roy Chowdhury,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Utkarsh Singh,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Shubham Singh,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Avneesh Sudha,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Asad Jamil Ahmed,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Bandaru Ayyappa,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Aashish Bhatt,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
McKenny Clarke,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Shubham Kapse,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Gourav Koul,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Raunak Kumar,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Trilok Nag,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Atal Bihari Rai,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Ramon Simmonds,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Rajeev Singh,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Mohd. Wasim,2000000,BOWLER,0,1,,Unsold,Unsold,0.2
Atharva Ankolekar,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Khizar Dafedar,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Naman Dhir,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Sahil Dhiwan,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Sampark Gupta,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Jordan Hermann,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Hayden Kerr,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Salman Khan,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Sairaj Patil,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Divyaansh Saxena,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Purnank Tyagi,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Prince Yadav,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Deepraj Gaonkar,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Shubham Garhwal,2000000,ALL-ROUNDER,0,1,RR,Unsold,Unsold,0.2
Benny Howell,4000000,ALL-ROUNDER,0,1,PBKS,Unsold,Unsold,0.4
Deepesh Nailwal,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Arjun Rapria,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Shashwat Rawat,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Sumit Ruikar,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Shivam Sharma,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Rajandeep Singh,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Anunay Singh,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Digvesh Singh,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Pranshu Vijayran,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Prerit Dutta,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Ramakrishna Ghosh,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Shubhang Hegde,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Shamshuzama Kazi,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Ayaz Khan,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Amit Pachhara,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Akul Pandove,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Garv Sangwan,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Shubham Sharma,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Amit Yadav,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Amit Ali,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Rishabh Chauhan,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Matthew Forde,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Sammar Gajjar,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Rajneesh Gurbani,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Divyansh Joshi,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Dhruv Patel,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Jack Prestwidge,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Aditya Sarvate,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Sagar Solanki,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
Prenelan Subrayen,2000000,ALL-ROUNDER,0,1,,Unsold,Unsold,0.2
